epoch,loss,reg_prop_pred_loss,val_loss,val_reg_prop_pred_loss,val_x_pred_categorical_accuracy,val_x_pred_loss,val_x_pred_vae_anneal_metric,val_z_mean_log_var_loss,x_pred_categorical_accuracy,x_pred_loss,x_pred_vae_anneal_metric,z_mean_log_var_loss
12,0.4401981331604092,0.6219462839592445,1.5808054506778717,0.5469447619774762,0.8377932651954538,2.614463739535388,0.00016969938587862998,1.192532579688465,0.9060687259035675,0.25823970803206686,0.00016969938587862998,1.239099188266616
13,0.42938579932639476,0.6103667599688235,1.5840703108731438,0.5375644691726741,0.8368141396957285,2.6302453454803016,0.0002827550342772156,1.1699426314410042,0.909306635786044,0.248060292539824,0.0002827550342772156,1.2185339955122847
14,0.4176821834162662,0.601764528129838,1.5006528654519249,0.5263522911597701,0.8464818097212735,2.4744210102978874,0.0004710941284429282,1.1302031348733341,0.9144816551553575,0.233042635881391,0.0004710941284429282,1.182783073500583
15,0.4078102443171175,0.5925322915182302,1.429309755563736,0.5193322129985866,0.8549184413517222,2.3384385179070866,0.0007847847300581634,1.081580852760988,0.9180791858387621,0.2221915068987169,0.0007847847300581634,1.1425938347452564
16,0.4005917451883617,0.585309893971211,1.453154865433188,0.5112078027690158,0.8514867468791849,2.3937508253490223,0.0013070814311504364,1.0336938176084967,0.9204187093204573,0.21444664660253024,0.0013070814311504364,1.091707516069475
17,0.3926302175478716,0.5786778547457958,1.3326821327209473,0.5020680252243491,0.8659169586265788,2.1611633441027474,0.002176224486902356,0.98008612148902,0.923943675466274,0.20431308678694463,0.002176224486902356,1.0428581173090559
18,0.3900934111719069,0.5710373854656753,1.3592458945863388,0.4946974691222696,0.862238108235247,2.22045938057058,0.0036212082486599684,0.9209457267733181,0.9236930319549221,0.20558255231988273,0.0036212082486599684,0.9849988727977401
19,0.3827071529077856,0.5647394027757017,1.2904930184869206,0.48924674356684966,0.8705369050011915,2.086698591709137,0.00601985352113843,0.8373471735154882,0.9269854287175756,0.19517308164780078,0.00601985352113843,0.913946183398366
20,0.3765597313054298,0.5598211339919975,1.267606779056437,0.48476242361699834,0.8732508841682883,2.0429544080706203,0.009991399943828583,0.750318599097869,0.9305082709577522,0.18504093896205487,0.009991399943828583,0.8264497831267746
21,0.3753308550405659,0.5554408097247544,1.2259200758793776,0.47933284719200697,0.8782772132579018,1.9619395101771635,0.016539542004466057,0.6389423468533684,0.9313641275818411,0.18320425761569487,0.016539542004466057,0.7265401611006573
22,0.36932530361962945,0.549605080759839,1.193847871878568,0.46878065563300075,0.8818158472285551,1.9049035030252792,0.027261018753051758,0.5139785952427808,0.9348827171090403,0.1724880937192785,0.027261018753051758,0.6073666067892
23,0.3663446821860577,0.5432474890135621,1.1812229962909924,0.46731504754108544,0.8835388220408383,1.8771324333022623,0.04461720213294029,0.40339861810207367,0.9363908356937923,0.16788081908108374,0.04461720213294029,0.4832453710076056
24,0.3997009823000745,0.5419401576938597,1.444906985058504,0.47175826965009465,0.851555669132401,2.392640008645899,0.07220327854156494,0.35200191727455926,0.916334775423533,0.22888110749619572,0.07220327854156494,0.39583658892661333
25,0.3776918272242734,0.5350179382550874,1.174677626175039,0.4554828523713,0.8843278236248914,1.8644152038237627,0.1147959753870964,0.2566047744715915,0.9311578729631085,0.1830836396762415,0.1147959753870964,0.32476816287166194
26,0.3736909534782171,0.5331656945575225,1.1548511981964111,0.4532475375077304,0.8870513141155243,1.8205177626189064,0.17770178616046906,0.20223257120917826,0.9358528669139272,0.16992465541452953,0.17770178616046906,0.24924654915536704
